Model,MAE,RMSE,MAPE,sMAPE,R2,NRMSE,Split
Prophet,3027.2054312168607,3578.374577019982,10.649214217400315,11.450860364414137,-23.299228041014995,204.6451868401452,Test
Quantile RF,720.9532847671011,847.2011239363623,2.529299860612272,2.573416596643128,-0.3620527391183092,48.45094569264533,Test
Attention Ensemble,720.9531251333332,847.2008097109559,2.529299317195846,2.573416020788378,-0.3620517287525673,48.45092772227481,Test
Attention Ensemble (Conformal 90%),,,,,,,Test
MoE-Gate (regime-aware),VAL,,,,,,
MoE-Gate (regime-aware),TEST,,,,,,
MoE-Gate (regime-aware),VAL,11484.24609375,13770.388671875,195.9677457809448,,,
MoE-Gate (regime-aware),TEST,11968.1220703125,14311.2275390625,195.98393440246585,,,
MoE-Gate (regime-aware),VAL,11484.24609375,13770.388671875,195.9677457809448,,,
MoE-Gate (regime-aware),TEST,11968.1220703125,14311.2275390625,195.98393440246585,,,
MoE-Gate (regime-aware),VAL,11484.24609375,13770.388671875,195.9677457809448,,,
MoE-Gate (regime-aware),TEST,11968.1220703125,14311.2275390625,195.98393440246585,,,
MoE-Gate (regime-aware),VAL,11484.24609375,13770.388671875,195.9677457809448,,,
MoE-Gate (regime-aware),TEST,11968.1220703125,14311.2275390625,195.98393440246585,,,
MoE-Gate (regime-aware),VAL,11484.24609375,13770.388671875,195.9677457809448,,,
MoE-Gate (regime-aware),TEST,11968.1220703125,14311.2275390625,195.98393440246585,,,
MoE-Gate (regime-aware),VAL,11484.24609375,13770.388671875,195.9677457809448,,,
MoE-Gate (regime-aware),TEST,11968.1220703125,14311.2275390625,195.98393440246585,,,
Stacking Ridge (norm experts),2693.9112735684917,3639.3230263341216,,38.70087296938717,,,Val
Stacking Ridge (norm experts),3464.8289715878727,4530.100590446228,,42.93135664559306,,,Test
Convex Stacking (global),9810.915558936353,12155.23700209287,,127.03800145623994,,,Val
Convex Stacking (global),10282.465327725948,12657.591894092093,,129.64208986248224,,,Test
Convex Stacking (by regime),9810.915558936353,12155.23700209287,,127.03800145623994,,,Val
Convex Stacking (by regime),10282.465327725948,12657.591894092093,,129.64208986248224,,,Test
"Convex Stacking (global, cal)",4502.387072017901,5755.3646471755,,51.28050500703221,,,Val
"Convex Stacking (global, cal)",5836.0870523526555,6884.504953298422,,63.25718870571768,,,Test
"Convex Stacking (by regime, cal)",4502.387072017901,5755.3646471755,,51.28050500703221,,,Val
"Convex Stacking (by regime, cal)",5836.0870523526555,6884.504953298422,,63.25718870571768,,,Test
"Convex Stacking 4x (prophet,lstm,qrf,sarima) (global, cal)",6642.789873298046,7901.307506673877,,72.29005895293625,,,Val
"Convex Stacking 4x (prophet,lstm,qrf,sarima) (global, cal)",6950.774105796197,8334.808609862754,,74.00619894374904,,,Test
"Convex Stacking 3x (prophet,lstm,qrf) (global, cal)",6642.7898732980475,7901.3075066738775,,72.29005895293625,,,Val
"Convex Stacking 3x (prophet,lstm,qrf) (global, cal)",6950.774105796198,8334.808609862754,,74.00619894374904,,,Test
